iter	Passed	Remaining
473	652	723
474	652	721
475	653	719
476	654	717
477	655	715
478	656	713
479	657	711
480	658	710
481	658	708
482	659	706
483	660	704
484	661	702
485	663	701
486	663	699
487	664	697
488	665	695
489	666	693
490	667	691
491	668	690
492	669	688
493	670	686
494	670	684
495	671	682
496	672	680
497	673	678
498	674	677
499	675	675
500	676	673
501	677	672
502	678	670
503	679	668
504	680	667
505	681	665
506	682	663
507	683	661
508	684	660
509	685	658
510	686	656
511	686	654
512	687	653
513	688	651
514	689	649
515	690	647
516	691	646
517	692	644
518	693	642
519	694	641
520	695	639
521	696	637
522	697	635
523	698	634
524	698	632
525	699	630
526	700	628
527	701	627
528	702	625
529	703	623
530	704	621
531	705	620
532	706	619
533	707	617
534	708	615
535	709	614
536	710	612
537	710	610
538	711	608
539	712	607
540	713	605
541	714	603
542	715	602
543	716	600
544	717	599
545	718	597
546	719	595
547	721	594
548	722	593
549	723	591
550	723	589
551	724	588
552	725	586
553	726	584
554	727	583
555	728	581
556	729	580
557	730	578
558	731	576
559	732	575
560	733	573
561	734	572
562	735	570
563	736	569
564	737	567
565	738	566
566	739	564
567	740	563
568	741	561
569	742	559
570	742	558
571	743	556
572	744	555
573	745	553
574	746	551
575	747	550
576	748	548
577	749	547
578	751	546
579	752	544
580	753	543
581	754	541
582	754	539
583	755	538
584	756	536
585	757	535
586	758	533
587	759	532
588	760	530
589	761	529
590	763	528
591	764	526
592	766	526
593	767	524
594	768	523
595	769	521
596	770	520
597	771	518
598	772	517
599	773	515
600	774	514
601	775	512
602	776	511
603	777	509
604	778	508
605	779	507
606	781	505
607	782	504
608	783	503
609	784	501
610	785	500
611	786	498
612	787	497
613	788	495
614	789	494
615	790	492
616	791	491
617	792	489
618	793	488
619	796	488
620	797	486
621	798	485
622	799	483
623	800	482
624	801	480
625	802	479
626	803	478
627	804	476
628	805	475
629	806	473
630	807	472
631	808	470
632	810	469
633	811	468
634	812	466
635	813	465
636	814	463
637	815	462
638	816	461
639	816	459
640	818	458
641	819	456
642	820	455
643	821	454
644	822	452
645	823	451
646	824	449
647	826	448
648	827	447
649	828	445
650	828	444
651	829	442
652	830	441
653	831	439
654	832	438
655	833	436
656	834	435
657	835	434
658	836	432
659	836	431
660	837	429
661	838	428
662	840	427
663	841	425
664	842	424
665	843	422
666	844	421
667	845	420
668	846	418
669	846	417
670	847	415
671	848	414
672	849	412
673	850	411
674	851	409
675	852	408
676	853	407
677	854	405
678	855	404
679	856	403
680	857	401
681	858	400
682	859	398
683	860	397
684	861	396
685	862	394
686	863	393
687	864	391
688	864	390
689	865	388
690	866	387
691	867	386
692	868	384
693	869	383
694	870	382
695	871	380
696	872	379
697	873	377
698	874	376
699	875	375
700	876	373
701	877	372
702	878	371
703	879	369
704	880	368
705	881	366
706	882	365
707	883	364
708	885	363
709	886	362
710	887	360
711	888	359
712	888	357
713	889	356
714	890	355
715	891	353
716	892	352
717	893	350
718	894	349
719	895	348
720	896	346
721	897	345
722	898	344
723	899	342
724	900	341
725	901	340
726	902	338
727	903	337
728	904	336
729	905	334
730	905	333
731	906	332
732	907	330
733	908	329
734	909	327
735	910	326
736	911	325
737	912	323
738	914	322
739	915	321
740	916	320
741	917	318
742	918	317
743	919	316
744	920	314
745	920	313
746	921	312
747	922	310
748	923	309
749	924	308
750	925	306
751	926	305
752	928	304
753	929	303
754	930	301
755	931	300
756	932	299
757	933	298
758	934	296
759	935	295
760	936	294
761	937	292
762	938	291
763	939	290
764	941	289
765	943	288
766	944	286
767	945	285
768	946	284
769	947	283
770	948	281
771	949	280
772	950	279
773	952	278
774	953	276
775	954	275
776	955	274
777	955	272
778	957	271
779	958	270
780	959	269
781	960	267
782	961	266
783	962	265
784	963	263
785	964	262
786	965	261
787	967	260
788	967	258
789	968	257
790	969	256
791	970	255
792	972	253
793	973	252
794	974	251
795	975	250
796	976	248
797	977	247
798	978	246
799	979	244
800	980	243
801	981	242
802	982	240
803	983	239
804	984	238
805	985	237
806	986	235
807	988	234
808	989	233
809	990	232
810	991	231
811	992	229
812	993	228
813	994	227
814	995	225
815	995	224
816	996	223
817	997	222
818	998	220
819	999	219
820	1000	218
821	1002	216
822	1003	215
823	1004	214
824	1005	213
825	1006	211
826	1007	210
827	1008	209
828	1009	208
829	1010	207
830	1012	205
831	1013	204
832	1014	203
833	1015	202
834	1016	200
835	1017	199
836	1018	198
837	1019	197
838	1020	195
839	1021	194
840	1022	193
841	1023	192
842	1024	190
843	1025	189
844	1026	188
845	1027	187
846	1028	185
847	1029	184
848	1030	183
849	1031	181
850	1033	180
851	1034	179
852	1035	178
853	1036	177
854	1037	175
855	1038	174
856	1039	173
857	1040	172
858	1041	170
859	1042	169
860	1043	168
861	1044	167
862	1045	165
863	1046	164
864	1048	163
865	1049	162
866	1050	161
867	1051	159
868	1052	158
869	1053	157
870	1054	156
871	1055	154
872	1056	153
873	1057	152
874	1058	151
875	1059	149
876	1059	148
877	1060	147
878	1062	146
879	1063	145
880	1064	143
881	1065	142
882	1066	141
883	1066	139
884	1067	138
885	1068	137
886	1069	136
887	1070	135
888	1071	133
889	1072	132
890	1073	131
891	1074	130
892	1075	128
893	1076	127
894	1077	126
895	1078	125
896	1079	123
897	1080	122
898	1081	121
899	1082	120
900	1083	119
901	1083	117
902	1084	116
903	1085	115
904	1086	114
905	1087	112
906	1088	111
907	1089	110
908	1090	109
909	1091	107
910	1092	106
911	1093	105
912	1094	104
913	1095	103
914	1095	101
915	1096	100
916	1097	99
917	1098	98
918	1099	96
919	1100	95
920	1101	94
921	1102	93
922	1103	92
923	1104	90
924	1105	89
925	1106	88
926	1107	87
927	1108	86
928	1109	84
929	1110	83
930	1112	82
931	1112	81
932	1113	79
933	1114	78
934	1115	77
935	1116	76
936	1117	75
937	1118	73
938	1119	72
939	1119	71
940	1121	70
941	1122	69
942	1123	67
943	1124	66
944	1125	65
945	1126	64
946	1127	63
947	1127	61
948	1128	60
949	1129	59
950	1130	58
951	1131	57
952	1132	55
953	1133	54
954	1134	53
955	1135	52
956	1136	51
957	1137	49
958	1138	48
959	1139	47
960	1140	46
961	1141	45
962	1142	43
963	1142	42
964	1143	41
965	1144	40
966	1145	39
967	1146	37
968	1147	36
969	1148	35
970	1149	34
971	1150	33
972	1152	31
973	1153	30
974	1154	29
975	1154	28
976	1155	27
977	1156	26
978	1157	24
979	1158	23
980	1159	22
981	1160	21
982	1161	20
983	1162	18
984	1163	17
985	1164	16
986	1166	15
987	1167	14
988	1168	12
989	1169	11
990	1170	10
991	1171	9
992	1172	8
993	1173	7
994	1173	5
995	1174	4
996	1175	3
997	1176	2
998	1177	1
999	1178	0
